127.0.0.1 - - [14/Jun/2018:10:52:38 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:53:02 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:53:03 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:53:03 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:51 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:51 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:51 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:52 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:52 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:52 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:53 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:54:55 +0530] "GET /mobile/login HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:55:25 +0530] "POST /mobile/j_spring_security_check HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:55:26 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:55:26 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:55:31 +0530] "GET /mobile/login HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:55:40 +0530] "POST /mobile/j_spring_security_check HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:55:40 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:55:40 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:34 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:34 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:34 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:34 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:34 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:34 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:37 +0530] "GET /mobile/login HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:47 +0530] "POST /mobile/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:47 +0530] "GET /mobile/ HTTP/1.1" 200 22607
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:47 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:56:47 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:57:07 +0530] "GET /mobile/admin/add HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:57:07 +0530] "GET /mobile/admin/resources/js/mobile-details.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:57:07 +0530] "GET /mobile/admin/resources/css/mobile-details.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:57:07 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:57:07 +0530] "GET /mobile/admin/resources/css/mobile-details.css HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:57:07 +0530] "GET /mobile/admin/resources/js/mobile-details.js HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:57:07 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:59:15 +0530] "GET /mobile/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:59:16 +0530] "GET /mobile/ HTTP/1.1" 200 22561
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:59:16 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:59:16 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:10:59:19 +0530] "GET /mobile/login HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:14 +0530] "POST /mobile/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:14 +0530] "GET /mobile/ HTTP/1.1" 200 22603
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:15 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:15 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:26 +0530] "GET /mobile/admin/add HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:27 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:48 +0530] "GET /mobile/admin/home HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:48 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:48 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:48 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:48 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:48 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:50 +0530] "GET /mobile/admin/home HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:50 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:50 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:50 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:50 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:50 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:50 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:54 +0530] "GET /mobile/admin/home HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:54 +0530] "GET /mobile/admin/home HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:54 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:54 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:54 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:54 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:54 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/admin/home HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:55 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:56 +0530] "GET /mobile/admin/ HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:56 +0530] "GET /mobile/admin/resources/css/caroualresponsive.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:56 +0530] "GET /mobile/admin/resources/css/reg.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:56 +0530] "GET /mobile/resources/images/access.png HTTP/1.1" 200 11606
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:56 +0530] "GET /mobile/resources/images/access1.png HTTP/1.1" 200 33984
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:09:56 +0530] "GET /mobile/admin/resources/css/mobile.css HTTP/1.1" 403 4979
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:10:00 +0530] "GET /mobile/ HTTP/1.1" 200 22603
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:10:00 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:10:00 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:10:01 +0530] "GET /mobile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:10:01 +0530] "GET /mobile/ HTTP/1.1" 200 22603
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:10:01 +0530] "GET /mobile/resources/images/5.jpg HTTP/1.1" 200 95923
0:0:0:0:0:0:0:1 - - [14/Jun/2018:11:10:01 +0530] "GET /mobile/resources/images/6.jpg HTTP/1.1" 200 61332
